Rank,Nome,Nota
389,Evolution: Climate,7.52
390,Maria,7.98
391,Saint Petersburg,7.28
392,The Godfather: Corleone's Empire,7.53
393,Downforce,7.32
394,Die Macher,7.60
395,Cloudspire,8.19
396,Endeavor,7.38
397,Sidereal Confluence,7.78
398,Here I Stand,7.88
399,Schotten Totten,7.35
400,Ticket to Ride: Märklin,7.41
401,King of Tokyo,7.14
402,Smartphone Inc.,7.59
403,Bruxelles 1893,7.62
404,In the Year of the Dragon,7.31
405,Tiny Towns,7.25
406,Azul: Stained Glass of Sintra,7.33
407,London (Second Edition),7.52
408,San Juan (Second Edition),7.46
409,Arkham Horror,7.24
410,Project L,7.49
411,Civilization,7.50
412,Hegemony: Lead Your Class to Victory,8.51
413,Summoner Wars (Second Edition),8.18
414,Dice Forge,7.23
415,Codenames: Pictures,7.20
416,Nippon,7.65
417,Sword & Sorcery,7.92
418,Sprawlopolis,7.36
419,Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures,7.61
420,Skull,7.20
421,Firefly: The Game,7.39
422,Clash of Cultures,7.58
423,Space Hulk (Third Edition),7.53
424,Santa Maria,7.49
425,Stockpile,7.48
426,Unmatched: Robin Hood vs. Bigfoot,7.95
427,Blitzkrieg!: World War Two in 20 Minutes,7.62
428,Star Wars: The Deckbuilding Game,7.98
429,Cubitos,7.46
430,Spartacus: A Game of Blood and Treachery,7.47
431,Fresco,7.26
432,Mythic Battles: Pantheon,8.35
433,Macao,7.41
434,Dune,7.59
435,Claustrophobia,7.48
436,Biblios,7.20
437,Advanced Squad Leader,8.00
438,Thunderstone Quest,7.79
439,Mice and Mystics,7.24
440,King of Tokyo: Dark Edition,7.70
441,The Manhattan Project,7.33
442,Flash Point: Fire Rescue,7.17
443,Wavelength,7.30
444,Chess,7.19
445,ISS Vanguard,8.75
446,Kingsburg,7.18
447,Millennium Blades,7.67
448,Imperial Settlers: Empires of the North,7.46
449,Pipeline,7.63
450,Glen More,7.30
451,Heroscape Master Set: Rise of the Valkyrie,7.44
452,Lancaster,7.40
453,A Few Acres of Snow,7.38
454,Pandemic: Reign of Cthulhu,7.37
455,Lord of the Rings: The Confrontation,7.48
456,Marvel United: X-Men,8.13
457,Quadropolis,7.24
458,Mandala,7.55
459,Point Salad,7.18
